"vaccine_uptake","v1_transmission_effectiveness","v2_transmission_effectiveness","strategy","relax_triggers","day","new_cases"
90,75,50,"Aggressive Elimination","No",10,146
60,90,50,"Aggressive Elimination","No",10,149
75,90,50,"Aggressive Elimination","No",10,142
90,90,50,"Aggressive Elimination","No",10,147
60,50,75,"Aggressive Elimination","No",10,152
75,50,75,"Aggressive Elimination","No",10,159
90,50,75,"Aggressive Elimination","No",10,155
60,75,75,"Aggressive Elimination","No",10,151
75,75,75,"Aggressive Elimination","No",10,154
90,75,75,"Aggressive Elimination","No",10,152
60,90,75,"Aggressive Elimination","No",10,142
75,90,75,"Aggressive Elimination","No",10,139
90,90,75,"Aggressive Elimination","No",10,133
60,50,90,"Aggressive Elimination","No",10,138
75,50,90,"Aggressive Elimination","No",10,139
90,50,90,"Aggressive Elimination","No",10,136
60,75,90,"Aggressive Elimination","No",10,129
75,75,90,"Aggressive Elimination","No",10,131
90,75,90,"Aggressive Elimination","No",10,136
60,90,90,"Aggressive Elimination","No",10,137
75,90,90,"Aggressive Elimination","No",10,137
90,90,90,"Aggressive Elimination","No",10,131
60,50,50,"Moderate Elimination","No",10,133
75,50,50,"Moderate Elimination","No",10,132
90,50,50,"Moderate Elimination","No",10,124
60,75,50,"Moderate Elimination","No",10,124
75,75,50,"Moderate Elimination","No",10,126
90,75,50,"Moderate Elimination","No",10,122
60,90,50,"Moderate Elimination","No",10,117
75,90,50,"Moderate Elimination","No",10,120
90,90,50,"Moderate Elimination","No",10,110
60,50,75,"Moderate Elimination","No",10,108
75,50,75,"Moderate Elimination","No",10,113
90,50,75,"Moderate Elimination","No",10,115
60,75,75,"Moderate Elimination","No",10,114
75,75,75,"Moderate Elimination","No",10,115
90,75,75,"Moderate Elimination","No",10,108
60,90,75,"Moderate Elimination","No",10,109
75,90,75,"Moderate Elimination","No",10,107
90,90,75,"Moderate Elimination","No",10,98
60,50,90,"Moderate Elimination","No",10,98
75,50,90,"Moderate Elimination","No",10,92
90,50,90,"Moderate Elimination","No",10,89
60,75,90,"Moderate Elimination","No",10,93
75,75,90,"Moderate Elimination","No",10,89
90,75,90,"Moderate Elimination","No",10,82
60,90,90,"Moderate Elimination","No",10,77
75,90,90,"Moderate Elimination","No",10,76
90,90,90,"Moderate Elimination","No",10,64
60,50,50,"Tight Suppression","No",10,67
75,50,50,"Tight Suppression","No",10,69
90,50,50,"Tight Suppression","No",10,68
60,75,50,"Tight Suppression","No",10,62
75,75,50,"Tight Suppression","No",10,64
90,75,50,"Tight Suppression","No",10,60
60,90,50,"Tight Suppression","No",10,57
75,90,50,"Tight Suppression","No",10,52
90,90,50,"Tight Suppression","No",10,65
60,50,75,"Tight Suppression","No",10,69
75,50,75,"Tight Suppression","No",10,75
90,50,75,"Tight Suppression","No",10,82
60,75,75,"Tight Suppression","No",10,82
75,75,75,"Tight Suppression","No",10,74
90,75,75,"Tight Suppression","No",10,70
60,90,75,"Tight Suppression","No",10,71
75,90,75,"Tight Suppression","No",10,67
90,90,75,"Tight Suppression","No",10,68
60,50,90,"Tight Suppression","No",10,67
75,50,90,"Tight Suppression","No",10,66
90,50,90,"Tight Suppression","No",10,65
60,75,90,"Tight Suppression","No",10,67
75,75,90,"Tight Suppression","No",10,66
90,75,90,"Tight Suppression","No",10,72
60,90,90,"Tight Suppression","No",10,77
75,90,90,"Tight Suppression","No",10,77
90,90,90,"Tight Suppression","No",10,75
60,50,50,"Loose Suppression","No",10,73
75,50,50,"Loose Suppression","No",10,71
90,50,50,"Loose Suppression","No",10,78
60,75,50,"Loose Suppression","No",10,77
75,75,50,"Loose Suppression","No",10,80
90,75,50,"Loose Suppression","No",10,78
60,90,50,"Loose Suppression","No",10,74
75,90,50,"Loose Suppression","No",10,78
90,90,50,"Loose Suppression","No",10,65
60,50,75,"Loose Suppression","No",10,59
75,50,75,"Loose Suppression","No",10,63
90,50,75,"Loose Suppression","No",10,58
60,75,75,"Loose Suppression","No",10,56
75,75,75,"Loose Suppression","No",10,63
90,75,75,"Loose Suppression","No",10,70
60,90,75,"Loose Suppression","No",10,67
75,90,75,"Loose Suppression","No",10,72
90,90,75,"Loose Suppression","No",10,63
60,50,90,"Loose Suppression","No",10,65
75,50,90,"Loose Suppression","No",10,64
90,50,90,"Loose Suppression","No",10,60
60,75,90,"Loose Suppression","No",10,62
75,75,90,"Loose Suppression","No",10,58
90,75,90,"Loose Suppression","No",10,54
60,90,90,"Loose Suppression","No",10,66
75,90,90,"Loose Suppression","No",10,65
90,90,90,"Loose Suppression","No",10,62
60,50,50,"Aggressive Elimination","Yes",11,57
75,50,50,"Aggressive Elimination","Yes",11,56
90,50,50,"Aggressive Elimination","Yes",11,53
60,75,50,"Aggressive Elimination","Yes",11,56
75,75,50,"Aggressive Elimination","Yes",11,47
90,75,50,"Aggressive Elimination","Yes",11,47
60,90,50,"Aggressive Elimination","Yes",11,49
75,90,50,"Aggressive Elimination","Yes",11,45
90,90,50,"Aggressive Elimination","Yes",11,49
60,50,75,"Aggressive Elimination","Yes",11,45
75,50,75,"Aggressive Elimination","Yes",11,44
90,50,75,"Aggressive Elimination","Yes",11,45
60,75,75,"Aggressive Elimination","Yes",11,45
75,75,75,"Aggressive Elimination","Yes",11,41
90,75,75,"Aggressive Elimination","Yes",11,32
60,90,75,"Aggressive Elimination","Yes",11,32
75,90,75,"Aggressive Elimination","Yes",11,40
90,90,75,"Aggressive Elimination","Yes",11,40
60,50,90,"Aggressive Elimination","Yes",11,46
75,50,90,"Aggressive Elimination","Yes",11,41
90,50,90,"Aggressive Elimination","Yes",11,40
60,75,90,"Aggressive Elimination","Yes",11,45
75,75,90,"Aggressive Elimination","Yes",11,39
90,75,90,"Aggressive Elimination","Yes",11,38
60,90,90,"Aggressive Elimination","Yes",11,34
75,90,90,"Aggressive Elimination","Yes",11,35
90,90,90,"Aggressive Elimination","Yes",11,34
60,50,50,"Moderate Elimination","Yes",11,35
75,50,50,"Moderate Elimination","Yes",11,28
90,50,50,"Moderate Elimination","Yes",11,33
60,75,50,"Moderate Elimination","Yes",11,29
75,75,50,"Moderate Elimination","Yes",11,24
90,75,50,"Moderate Elimination","Yes",11,24
60,90,50,"Moderate Elimination","Yes",11,19
75,90,50,"Moderate Elimination","Yes",11,16
90,90,50,"Moderate Elimination","Yes",11,12
60,50,75,"Moderate Elimination","Yes",11,17
75,50,75,"Moderate Elimination","Yes",11,19
90,50,75,"Moderate Elimination","Yes",11,19
60,75,75,"Moderate Elimination","Yes",11,20
75,75,75,"Moderate Elimination","Yes",11,13
90,75,75,"Moderate Elimination","Yes",11,25
60,90,75,"Moderate Elimination","Yes",11,22
75,90,75,"Moderate Elimination","Yes",11,21
90,90,75,"Moderate Elimination","Yes",11,20
60,50,90,"Moderate Elimination","Yes",11,23
75,50,90,"Moderate Elimination","Yes",11,20
90,50,90,"Moderate Elimination","Yes",11,21
60,75,90,"Moderate Elimination","Yes",11,22
75,75,90,"Moderate Elimination","Yes",11,21
90,75,90,"Moderate Elimination","Yes",11,22
60,90,90,"Moderate Elimination","Yes",11,26
75,90,90,"Moderate Elimination","Yes",11,29
90,90,90,"Moderate Elimination","Yes",11,23
60,50,50,"Tight Suppression","Yes",11,24
75,50,50,"Tight Suppression","Yes",11,27
90,50,50,"Tight Suppression","Yes",11,23
60,75,50,"Tight Suppression","Yes",11,26
75,75,50,"Tight Suppression","Yes",11,27
90,75,50,"Tight Suppression","Yes",11,31
60,90,50,"Tight Suppression","Yes",11,36
75,90,50,"Tight Suppression","Yes",11,40
90,90,50,"Tight Suppression","Yes",11,29
60,50,75,"Tight Suppression","Yes",11,31
75,50,75,"Tight Suppression","Yes",11,34
90,50,75,"Tight Suppression","Yes",11,39
60,75,75,"Tight Suppression","Yes",11,37
75,75,75,"Tight Suppression","Yes",11,34
90,75,75,"Tight Suppression","Yes",11,38
60,90,75,"Tight Suppression","Yes",11,39
75,90,75,"Tight Suppression","Yes",11,39
90,90,75,"Tight Suppression","Yes",11,48
60,50,90,"Tight Suppression","Yes",11,54
75,50,90,"Tight Suppression","Yes",11,60
90,50,90,"Tight Suppression","Yes",11,52
60,75,90,"Tight Suppression","Yes",11,49
75,75,90,"Tight Suppression","Yes",11,42
90,75,90,"Tight Suppression","Yes",11,40
60,90,90,"Tight Suppression","Yes",11,44
75,90,90,"Tight Suppression","Yes",11,40
90,90,90,"Tight Suppression","Yes",11,41
60,50,50,"Loose Suppression","Yes",11,50
75,50,50,"Loose Suppression","Yes",11,51
90,50,50,"Loose Suppression","Yes",11,47
60,75,50,"Loose Suppression","Yes",11,35
75,75,50,"Loose Suppression","Yes",11,27
90,75,50,"Loose Suppression","Yes",11,19
60,90,50,"Loose Suppression","Yes",11,22
75,90,50,"Loose Suppression","Yes",11,21
90,90,50,"Loose Suppression","Yes",11,15
60,50,75,"Loose Suppression","Yes",11,16
75,50,75,"Loose Suppression","Yes",11,19
90,50,75,"Loose Suppression","Yes",11,23
60,75,75,"Loose Suppression","Yes",11,23
75,75,75,"Loose Suppression","Yes",11,32
90,75,75,"Loose Suppression","Yes",11,39
60,90,75,"Loose Suppression","Yes",11,35
75,90,75,"Loose Suppression","Yes",11,31
90,90,75,"Loose Suppression","Yes",11,44
60,50,90,"Loose Suppression","Yes",11,43
75,50,90,"Loose Suppression","Yes",11,46
90,50,90,"Loose Suppression","Yes",11,44
60,75,90,"Loose Suppression","Yes",11,50
75,75,90,"Loose Suppression","Yes",11,45
90,75,90,"Loose Suppression","Yes",11,50
60,90,90,"Loose Suppression","Yes",11,54
75,90,90,"Loose Suppression","Yes",11,56
90,90,90,"Loose Suppression","Yes",11,55
60,50,50,"Aggressive Elimination","No",11,56
75,50,50,"Aggressive Elimination","No",11,52
90,50,50,"Aggressive Elimination","No",11,55
60,75,50,"Aggressive Elimination","No",11,56
75,75,50,"Aggressive Elimination","No",11,63
90,75,50,"Aggressive Elimination","No",11,60
60,90,50,"Aggressive Elimination","No",11,54
75,90,50,"Aggressive Elimination","No",11,63
90,90,50,"Aggressive Elimination","No",11,62
60,50,75,"Aggressive Elimination","No",11,66
75,50,75,"Aggressive Elimination","No",11,65
90,50,75,"Aggressive Elimination","No",11,55
60,75,75,"Aggressive Elimination","No",11,58
75,75,75,"Aggressive Elimination","No",11,63
90,75,75,"Aggressive Elimination","No",11,63
60,90,75,"Aggressive Elimination","No",11,57
75,90,75,"Aggressive Elimination","No",11,55
90,90,75,"Aggressive Elimination","No",11,46
60,50,90,"Aggressive Elimination","No",11,49
75,50,90,"Aggressive Elimination","No",11,49
90,50,90,"Aggressive Elimination","No",11,53
60,75,90,"Aggressive Elimination","No",11,51
75,75,90,"Aggressive Elimination","No",11,52
90,75,90,"Aggressive Elimination","No",11,51
60,90,90,"Aggressive Elimination","No",11,49
75,90,90,"Aggressive Elimination","No",11,44
90,90,90,"Aggressive Elimination","No",11,45
60,50,50,"Moderate Elimination","No",11,39
75,50,50,"Moderate Elimination","No",11,34
90,50,50,"Moderate Elimination","No",11,41
60,75,50,"Moderate Elimination","No",11,36
75,75,50,"Moderate Elimination","No",11,44
90,75,50,"Moderate Elimination","No",11,45
60,90,50,"Moderate Elimination","No",11,44
75,90,50,"Moderate Elimination","No",11,48
90,90,50,"Moderate Elimination","No",11,53
60,50,75,"Moderate Elimination","No",11,52
75,50,75,"Moderate Elimination","No",11,56
90,50,75,"Moderate Elimination","No",11,59
60,75,75,"Moderate Elimination","No",11,54
75,75,75,"Moderate Elimination","No",11,58
90,75,75,"Moderate Elimination","No",11,66
60,90,75,"Moderate Elimination","No",11,70
75,90,75,"Moderate Elimination","No",11,76
90,90,75,"Moderate Elimination","No",11,83
60,50,90,"Moderate Elimination","No",11,82
75,50,90,"Moderate Elimination","No",11,82
90,50,90,"Moderate Elimination","No",11,74
60,75,90,"Moderate Elimination","No",11,75
75,75,90,"Moderate Elimination","No",11,81
90,75,90,"Moderate Elimination","No",11,78
60,90,90,"Moderate Elimination","No",11,77
75,90,90,"Moderate Elimination","No",11,71
90,90,90,"Moderate Elimination","No",11,63
60,50,50,"Tight Suppression","No",11,66
75,50,50,"Tight Suppression","No",11,67
90,50,50,"Tight Suppression","No",11,64
60,75,50,"Tight Suppression","No",11,49
75,75,50,"Tight Suppression","No",11,54
90,75,50,"Tight Suppression","No",11,58
60,90,50,"Tight Suppression","No",11,54
75,90,50,"Tight Suppression","No",11,57
90,90,50,"Tight Suppression","No",11,54
60,50,75,"Tight Suppression","No",11,51
75,50,75,"Tight Suppression","No",11,45
90,50,75,"Tight Suppression","No",11,43
60,75,75,"Tight Suppression","No",11,41
75,75,75,"Tight Suppression","No",11,31
90,75,75,"Tight Suppression","No",11,29
60,90,75,"Tight Suppression","No",11,35
75,90,75,"Tight Suppression","No",11,37
90,90,75,"Tight Suppression","No",11,42
60,50,90,"Tight Suppression","No",11,41
75,50,90,"Tight Suppression","No",11,46
90,50,90,"Tight Suppression","No",11,52
60,75,90,"Tight Suppression","No",11,54
75,75,90,"Tight Suppression","No",11,54
90,75,90,"Tight Suppression","No",11,54
60,90,90,"Tight Suppression","No",11,46
75,90,90,"Tight Suppression","No",11,49
90,90,90,"Tight Suppression","No",11,53
60,50,50,"Loose Suppression","No",11,57
75,50,50,"Loose Suppression","No",11,55
90,50,50,"Loose Suppression","No",11,49
60,75,50,"Loose Suppression","No",11,42
75,75,50,"Loose Suppression","No",11,44
90,75,50,"Loose Suppression","No",11,45
60,90,50,"Loose Suppression","No",11,49
75,90,50,"Loose Suppression","No",11,50
90,90,50,"Loose Suppression","No",11,49
60,50,75,"Loose Suppression","No",11,36
75,50,75,"Loose Suppression","No",11,33
90,50,75,"Loose Suppression","No",11,32
60,75,75,"Loose Suppression","No",11,37
75,75,75,"Loose Suppression","No",11,43
90,75,75,"Loose Suppression","No",11,42
60,90,75,"Loose Suppression","No",11,38
75,90,75,"Loose Suppression","No",11,35
90,90,75,"Loose Suppression","No",11,31
60,50,90,"Loose Suppression","No",11,39
75,50,90,"Loose Suppression","No",11,33
90,50,90,"Loose Suppression","No",11,38
60,75,90,"Loose Suppression","No",11,44
75,75,90,"Loose Suppression","No",11,44
90,75,90,"Loose Suppression","No",11,41
60,90,90,"Loose Suppression","No",11,46
75,90,90,"Loose Suppression","No",11,49
90,90,90,"Loose Suppression","No",11,49
60,50,50,"Aggressive Elimination","Yes",12,47
75,50,50,"Aggressive Elimination","Yes",12,52
90,50,50,"Aggressive Elimination","Yes",12,43
60,75,50,"Aggressive Elimination","Yes",12,45
75,75,50,"Aggressive Elimination","Yes",12,47
90,75,50,"Aggressive Elimination","Yes",12,47
60,90,50,"Aggressive Elimination","Yes",12,43
75,90,50,"Aggressive Elimination","Yes",12,43
90,90,50,"Aggressive Elimination","Yes",12,46
60,50,75,"Aggressive Elimination","Yes",12,44
75,50,75,"Aggressive Elimination","Yes",12,42
90,50,75,"Aggressive Elimination","Yes",12,39
60,75,75,"Aggressive Elimination","Yes",12,39
75,75,75,"Aggressive Elimination","Yes",12,35
90,75,75,"Aggressive Elimination","Yes",12,32
60,90,75,"Aggressive Elimination","Yes",12,25
75,90,75,"Aggressive Elimination","Yes",12,23
90,90,75,"Aggressive Elimination","Yes",12,18
60,50,90,"Aggressive Elimination","Yes",12,19
75,50,90,"Aggressive Elimination","Yes",12,20
90,50,90,"Aggressive Elimination","Yes",12,16
60,75,90,"Aggressive Elimination","Yes",12,9
75,75,90,"Aggressive Elimination","Yes",12,9
90,75,90,"Aggressive Elimination","Yes",12,15
60,90,90,"Aggressive Elimination","Yes",12,18
75,90,90,"Aggressive Elimination","Yes",12,25
90,90,90,"Aggressive Elimination","Yes",12,20
60,50,50,"Moderate Elimination","Yes",12,19
75,50,50,"Moderate Elimination","Yes",12,20
90,50,50,"Moderate Elimination","Yes",12,23
60,75,50,"Moderate Elimination","Yes",12,12
75,75,50,"Moderate Elimination","Yes",12,18
90,75,50,"Moderate Elimination","Yes",12,16
60,90,50,"Moderate Elimination","Yes",12,19
75,90,50,"Moderate Elimination","Yes",12,15
90,90,50,"Moderate Elimination","Yes",12,13
60,50,75,"Moderate Elimination","Yes",12,5
75,50,75,"Moderate Elimination","Yes",12,12
90,50,75,"Moderate Elimination","Yes",12,18
60,75,75,"Moderate Elimination","Yes",12,20
75,75,75,"Moderate Elimination","Yes",12,20
90,75,75,"Moderate Elimination","Yes",12,18
60,90,75,"Moderate Elimination","Yes",12,12
75,90,75,"Moderate Elimination","Yes",12,13
90,90,75,"Moderate Elimination","Yes",12,7
60,50,90,"Moderate Elimination","Yes",12,6
75,50,90,"Moderate Elimination","Yes",12,14
90,50,90,"Moderate Elimination","Yes",12,26
60,75,90,"Moderate Elimination","Yes",12,22
75,75,90,"Moderate Elimination","Yes",12,20
90,75,90,"Moderate Elimination","Yes",12,8
60,90,90,"Moderate Elimination","Yes",12,3
75,90,90,"Moderate Elimination","Yes",12,7
90,90,90,"Moderate Elimination","Yes",12,0
60,50,50,"Tight Suppression","Yes",12,0
75,50,50,"Tight Suppression","Yes",12,0
90,50,50,"Tight Suppression","Yes",12,0
60,75,50,"Tight Suppression","Yes",12,0
75,75,50,"Tight Suppression","Yes",12,13
90,75,50,"Tight Suppression","Yes",12,27
60,90,50,"Tight Suppression","Yes",12,23
75,90,50,"Tight Suppression","Yes",12,31
90,90,50,"Tight Suppression","Yes",12,30
60,50,75,"Tight Suppression","Yes",12,36
75,50,75,"Tight Suppression","Yes",12,36
90,50,75,"Tight Suppression","Yes",12,49
60,75,75,"Tight Suppression","Yes",12,48
75,75,75,"Tight Suppression","Yes",12,44
90,75,75,"Tight Suppression","Yes",12,39
60,90,75,"Tight Suppression","Yes",12,33
75,90,75,"Tight Suppression","Yes",12,34
90,90,75,"Tight Suppression","Yes",12,20
60,50,90,"Tight Suppression","Yes",12,22
75,50,90,"Tight Suppression","Yes",12,28
90,50,90,"Tight Suppression","Yes",12,31
60,75,90,"Tight Suppression","Yes",12,30
75,75,90,"Tight Suppression","Yes",12,23
90,75,90,"Tight Suppression","Yes",12,31
60,90,90,"Tight Suppression","Yes",12,32
75,90,90,"Tight Suppression","Yes",12,31
90,90,90,"Tight Suppression","Yes",12,30
60,50,50,"Loose Suppression","Yes",12,30
75,50,50,"Loose Suppression","Yes",12,29
90,50,50,"Loose Suppression","Yes",12,32
60,75,50,"Loose Suppression","Yes",12,37
75,75,50,"Loose Suppression","Yes",12,35
90,75,50,"Loose Suppression","Yes",12,27
60,90,50,"Loose Suppression","Yes",12,21
75,90,50,"Loose Suppression","Yes",12,21
90,90,50,"Loose Suppression","Yes",12,20
60,50,75,"Loose Suppression","Yes",12,18
75,50,75,"Loose Suppression","Yes",12,23
90,50,75,"Loose Suppression","Yes",12,27
60,75,75,"Loose Suppression","Yes",12,26
75,75,75,"Loose Suppression","Yes",12,25
90,75,75,"Loose Suppression","Yes",12,13
60,90,75,"Loose Suppression","Yes",12,9
75,90,75,"Loose Suppression","Yes",12,9
90,90,75,"Loose Suppression","Yes",12,15
60,50,90,"Loose Suppression","Yes",12,13
75,50,90,"Loose Suppression","Yes",12,10
90,50,90,"Loose Suppression","Yes",12,12
60,75,90,"Loose Suppression","Yes",12,11
75,75,90,"Loose Suppression","Yes",12,9
90,75,90,"Loose Suppression","Yes",12,1
60,90,90,"Loose Suppression","Yes",12,0
75,90,90,"Loose Suppression","Yes",12,0
90,90,90,"Loose Suppression","Yes",12,1
60,50,50,"Aggressive Elimination","No",12,3
75,50,50,"Aggressive Elimination","No",12,0
90,50,50,"Aggressive Elimination","No",12,0
60,75,50,"Aggressive Elimination","No",12,0
75,75,50,"Aggressive Elimination","No",12,2
90,75,50,"Aggressive Elimination","No",12,11
60,90,50,"Aggressive Elimination","No",12,6
75,90,50,"Aggressive Elimination","No",12,14
90,90,50,"Aggressive Elimination","No",12,21
60,50,75,"Aggressive Elimination","No",12,33
75,50,75,"Aggressive Elimination","No",12,27
90,50,75,"Aggressive Elimination","No",12,29
60,75,75,"Aggressive Elimination","No",12,30
75,75,75,"Aggressive Elimination","No",12,29
90,75,75,"Aggressive Elimination","No",12,43
60,90,75,"Aggressive Elimination","No",12,51
75,90,75,"Aggressive Elimination","No",12,54
90,90,75,"Aggressive Elimination","No",12,57
60,50,90,"Aggressive Elimination","No",12,58
75,50,90,"Aggressive Elimination","No",12,57
90,50,90,"Aggressive Elimination","No",12,56
60,75,90,"Aggressive Elimination","No",12,57
75,75,90,"Aggressive Elimination","No",12,58
90,75,90,"Aggressive Elimination","No",12,58
60,90,90,"Aggressive Elimination","No",12,61
75,90,90,"Aggressive Elimination","No",12,61
90,90,90,"Aggressive Elimination","No",12,62
60,50,50,"Moderate Elimination","No",12,63
75,50,50,"Moderate Elimination","No",12,55
90,50,50,"Moderate Elimination","No",12,54
60,75,50,"Moderate Elimination","No",12,45
75,75,50,"Moderate Elimination","No",12,53
90,75,50,"Moderate Elimination","No",12,44
60,90,50,"Moderate Elimination","No",12,40
75,90,50,"Moderate Elimination","No",12,40
90,90,50,"Moderate Elimination","No",12,44
60,50,75,"Moderate Elimination","No",12,48
75,50,75,"Moderate Elimination","No",12,47
90,50,75,"Moderate Elimination","No",12,48
60,75,75,"Moderate Elimination","No",12,50
75,75,75,"Moderate Elimination","No",12,44
90,75,75,"Moderate Elimination","No",12,49
60,90,75,"Moderate Elimination","No",12,52
75,90,75,"Moderate Elimination","No",12,59
90,90,75,"Moderate Elimination","No",12,56
60,50,90,"Moderate Elimination","No",12,63
75,50,90,"Moderate Elimination","No",12,59
90,50,90,"Moderate Elimination","No",12,52
60,75,90,"Moderate Elimination","No",12,49
75,75,90,"Moderate Elimination","No",12,54
90,75,90,"Moderate Elimination","No",12,47
60,90,90,"Moderate Elimination","No",12,37
75,90,90,"Moderate Elimination","No",12,36
90,90,90,"Moderate Elimination","No",12,33
60,50,50,"Tight Suppression","No",12,32
75,50,50,"Tight Suppression","No",12,34
90,50,50,"Tight Suppression","No",12,33
60,75,50,"Tight Suppression","No",12,35
75,75,50,"Tight Suppression","No",12,33
90,75,50,"Tight Suppression","No",12,31
60,90,50,"Tight Suppression","No",12,27
75,90,50,"Tight Suppression","No",12,29
90,90,50,"Tight Suppression","No",12,33
60,50,75,"Tight Suppression","No",12,39
75,50,75,"Tight Suppression","No",12,37
90,50,75,"Tight Suppression","No",12,26
60,75,75,"Tight Suppression","No",12,33
75,75,75,"Tight Suppression","No",12,34
90,75,75,"Tight Suppression","No",12,40
60,90,75,"Tight Suppression","No",12,42
75,90,75,"Tight Suppression","No",12,47
90,90,75,"Tight Suppression","No",12,48
60,50,90,"Tight Suppression","No",12,55
75,50,90,"Tight Suppression","No",12,57
90,50,90,"Tight Suppression","No",12,44
60,75,90,"Tight Suppression","No",12,44
75,75,90,"Tight Suppression","No",12,45
90,75,90,"Tight Suppression","No",12,38
60,90,90,"Tight Suppression","No",12,45
75,90,90,"Tight Suppression","No",12,45
90,90,90,"Tight Suppression","No",12,45
60,50,50,"Loose Suppression","No",12,44
75,50,50,"Loose Suppression","No",12,44
90,50,50,"Loose Suppression","No",12,53
60,75,50,"Loose Suppression","No",12,57
75,75,50,"Loose Suppression","No",12,56
90,75,50,"Loose Suppression","No",12,61
60,90,50,"Loose Suppression","No",12,56
75,90,50,"Loose Suppression","No",12,57
90,90,50,"Loose Suppression","No",12,63
60,50,75,"Loose Suppression","No",12,72
75,50,75,"Loose Suppression","No",12,81
90,50,75,"Loose Suppression","No",12,80
60,75,75,"Loose Suppression","No",12,84
75,75,75,"Loose Suppression","No",12,86
90,75,75,"Loose Suppression","No",12,88
60,90,75,"Loose Suppression","No",12,85
75,90,75,"Loose Suppression","No",12,89
90,90,75,"Loose Suppression","No",12,81
60,50,90,"Loose Suppression","No",12,78
75,50,90,"Loose Suppression","No",12,78
90,50,90,"Loose Suppression","No",12,73
60,75,90,"Loose Suppression","No",12,63
75,75,90,"Loose Suppression","No",12,54
90,75,90,"Loose Suppression","No",12,67
60,90,90,"Loose Suppression","No",12,61
75,90,90,"Loose Suppression","No",12,60
90,90,90,"Loose Suppression","No",12,55
60,50,50,"Aggressive Elimination","Yes",13,54
75,50,50,"Aggressive Elimination","Yes",13,54
90,50,50,"Aggressive Elimination","Yes",13,50
60,75,50,"Aggressive Elimination","Yes",13,51
75,75,50,"Aggressive Elimination","Yes",13,56
90,75,50,"Aggressive Elimination","Yes",13,58
60,90,50,"Aggressive Elimination","Yes",13,60
75,90,50,"Aggressive Elimination","Yes",13,60
90,90,50,"Aggressive Elimination","Yes",13,54
60,50,75,"Aggressive Elimination","Yes",13,46
75,50,75,"Aggressive Elimination","Yes",13,40
90,50,75,"Aggressive Elimination","Yes",13,47
60,75,75,"Aggressive Elimination","Yes",13,46
75,75,75,"Aggressive Elimination","Yes",13,43
90,75,75,"Aggressive Elimination","Yes",13,50
60,90,75,"Aggressive Elimination","Yes",13,46
75,90,75,"Aggressive Elimination","Yes",13,43
90,90,75,"Aggressive Elimination","Yes",13,40
60,50,90,"Aggressive Elimination","Yes",13,30
75,50,90,"Aggressive Elimination","Yes",13,24
90,50,90,"Aggressive Elimination","Yes",13,22
60,75,90,"Aggressive Elimination","Yes",13,22
75,75,90,"Aggressive Elimination","Yes",13,28
90,75,90,"Aggressive Elimination","Yes",13,37
60,90,90,"Aggressive Elimination","Yes",13,30
75,90,90,"Aggressive Elimination","Yes",13,34
90,90,90,"Aggressive Elimination","Yes",13,31
60,50,50,"Moderate Elimination","Yes",13,28
75,50,50,"Moderate Elimination","Yes",13,27
90,50,50,"Moderate Elimination","Yes",13,28
60,75,50,"Moderate Elimination","Yes",13,17
75,75,50,"Moderate Elimination","Yes",13,18
90,75,50,"Moderate Elimination","Yes",13,20
60,90,50,"Moderate Elimination","Yes",13,22
75,90,50,"Moderate Elimination","Yes",13,12
90,90,50,"Moderate Elimination","Yes",13,13
60,50,75,"Moderate Elimination","Yes",13,12
75,50,75,"Moderate Elimination","Yes",13,13
90,50,75,"Moderate Elimination","Yes",13,18
60,75,75,"Moderate Elimination","Yes",13,21
75,75,75,"Moderate Elimination","Yes",13,25
90,75,75,"Moderate Elimination","Yes",13,26
60,90,75,"Moderate Elimination","Yes",13,23
75,90,75,"Moderate Elimination","Yes",13,20
90,90,75,"Moderate Elimination","Yes",13,23
60,50,90,"Moderate Elimination","Yes",13,17
75,50,90,"Moderate Elimination","Yes",13,15
90,50,90,"Moderate Elimination","Yes",13,15
60,75,90,"Moderate Elimination","Yes",13,19
75,75,90,"Moderate Elimination","Yes",13,19
90,75,90,"Moderate Elimination","Yes",13,19
60,90,90,"Moderate Elimination","Yes",13,25
75,90,90,"Moderate Elimination","Yes",13,15
90,90,90,"Moderate Elimination","Yes",13,14
60,50,50,"Tight Suppression","Yes",13,15
75,50,50,"Tight Suppression","Yes",13,11
90,50,50,"Tight Suppression","Yes",13,7
60,75,50,"Tight Suppression","Yes",13,6
75,75,50,"Tight Suppression","Yes",13,9
90,75,50,"Tight Suppression","Yes",13,12
60,90,50,"Tight Suppression","Yes",13,14
75,90,50,"Tight Suppression","Yes",13,23
90,90,50,"Tight Suppression","Yes",13,26
60,50,75,"Tight Suppression","Yes",13,24
75,50,75,"Tight Suppression","Yes",13,29
90,50,75,"Tight Suppression","Yes",13,23
60,75,75,"Tight Suppression","Yes",13,17
75,75,75,"Tight Suppression","Yes",13,20
90,75,75,"Tight Suppression","Yes",13,27
60,90,75,"Tight Suppression","Yes",13,29
75,90,75,"Tight Suppression","Yes",13,33
90,90,75,"Tight Suppression","Yes",13,30
60,50,90,"Tight Suppression","Yes",13,31
75,50,90,"Tight Suppression","Yes",13,27
90,50,90,"Tight Suppression","Yes",13,31
60,75,90,"Tight Suppression","Yes",13,30
75,75,90,"Tight Suppression","Yes",13,34
90,75,90,"Tight Suppression","Yes",13,36
